Temparature,Humidity ,Moisture,Nitrogen,Potassium,Phosphorous,Soil Type,Crop Type,Fertilizer Name
33,65,43,42,0,0,Black,Cotton,Urea
25,63,43,35,0,0,Black,Paddy,Urea
33,58,30,10,0,35,Red,Millets,DAP
34,60,47,11,0,32,Clayey,Barley,DAP
31,63,36,15,0,39,Red,Ground Nuts,DAP
34,55,30,40,1,1,Loamy,Wheat,Urea
29,59,68,11,1,9,Sandy,Pulses,20-20
33,53,52,41,0,2,Loamy,Wheat,Urea
32,60,51,12,0,40,Sandy,Ground Nuts,DAP
26,61,46,4,17,19,Clayey,Barley,10-26-26
29,48,49,14,11,15,Red,Sugarcane,17-17-17
29,68,13,41,1,0,Loamy,Sugarcane,Urea
29,66,63,42,0,0,Black,Sugarcane,Urea
36,65,43,9,8,30,Black,Maize,14-35-14
31,51,40,23,1,23,Sandy,Wheat,28-28
28,57,35,11,1,13,Black,Sugarcane,20-20
28,61,50,11,2,4,Red,Millets,20-20
24,70,34,11,0,11,Sandy,Cotton,20-20
33,59,37,11,16,13,Sandy,Cotton,17-17-17
29,58,28,12,0,35,Loamy,Millets,DAP
28,53,37,14,15,15,Red,Sugarcane,17-17-17
32,50,51,14,0,39,Red,Ground Nuts,DAP
34,52,49,36,0,2,Clayey,Millets,Urea
32,59,48,36,0,0,Black,Cotton,Urea
28,71,39,15,1,38,Clayey,Sugarcane,DAP
36,70,45,9,9,12,Loamy,Ground Nuts,17-17-17
34,65,58,10,11,29,Loamy,Paddy,14-35-14
27,52,37,13,20,18,Red,Wheat,10-26-26
30,56,43,23,0,19,Clayey,Barley,28-28
31,67,21,39,0,1,Red,Paddy,Urea
27,57,47,37,0,0,Loamy,Oil seeds,Urea
41,63,59,13,1,40,Loamy,Millets,DAP
39,59,42,38,0,0,Black,Oil seeds,Urea
31,65,59,12,11,12,Loamy,Sugarcane,17-17-17
37,67,46,16,0,39,Red,Tobacco,DAP
29,60,32,10,8,33,Loamy,Oil seeds,14-35-14
28,70,50,37,1,1,Clayey,Wheat,Urea
28,62,32,24,0,19,Red,Maize,28-28
23,74,52,8,10,36,Loamy,Maize,14-35-14
27,57,48,9,0,10,Black,Sugarcane,20-20
32,67,30,6,20,17,Red,Wheat,10-26-26
32,51,65,8,9,29,Loamy,Sugarcane,14-35-14
25,57,25,11,13,12,Red,Maize,17-17-17
25,57,57,10,0,13,Red,Oil seeds,20-20
25,36,66,10,12,11,Loamy,Sugarcane,17-17-17
30,55,40,16,0,36,Loamy,Tobacco,DAP
28,59,53,20,0,18,Sandy,Millets,28-28
32,60,49,13,0,12,Black,Cotton,20-20
33,49,30,36,1,2,Black,Oil seeds,Urea
31,67,65,11,3,12,Loamy,Cotton,20-20
31,58,41,10,14,11,Red,Cotton,17-17-17
27,57,39,12,2,37,Red,Sugarcane,DAP
29,61,66,14,11,13,Sandy,Sugarcane,17-17-17
32,64,30,13,0,11,Sandy,Oil seeds,20-20
24,58,31,36,0,1,Red,Sugarcane,Urea
34,59,53,14,0,14,Loamy,Sugarcane,20-20
25,65,34,11,0,38,Loamy,Oil seeds,DAP
31,58,33,7,17,18,Red,Tobacco,10-26-26
33,56,39,5,20,17,Loamy,Paddy,10-26-26
31,64,38,7,20,19,Clayey,Pulses,10-26-26
34,60,47,14,1,13,Black,Millets,20-20
26,56,53,11,1,9,Clayey,Oil seeds,20-20
32,49,45,16,0,37,Clayey,Barley,DAP
28,58,41,24,0,21,Red,Millets,28-28
31,54,59,39,1,0,Red,Ground Nuts,Urea
30,51,40,14,13,14,Sandy,Barley,17-17-17
22,54,48,22,0,17,Sandy,Barley,28-28
33,65,26,16,0,42,Sandy,Ground Nuts,DAP
33,66,44,35,0,0,Red,Paddy,Urea
32,62,44,4,18,15,Red,Pulses,10-26-26
31,63,45,17,0,36,Loamy,Cotton,DAP
33,64,51,14,1,37,Red,Tobacco,DAP
32,59,45,9,2,10,Red,Oil seeds,20-20
39,55,31,8,10,30,Red,Cotton,14-35-14
27,61,47,8,10,32,Sandy,Sugarcane,14-35-14
31,52,33,23,0,20,Red,Millets,28-28
26,67,35,24,0,16,Loamy,Maize,28-28
31,55,34,24,0,20,Sandy,Millets,28-28
26,56,28,12,15,13,Sandy,Barley,17-17-17
29,49,41,3,17,18,Clayey,Tobacco,10-26-26
22,69,36,5,19,21,Red,Wheat,10-26-26
30,53,34,41,1,1,Loamy,Paddy,Urea
36,56,44,40,0,0,Loamy,Millets,Urea
35,53,63,14,1,37,Loamy,Cotton,DAP
33,57,34,8,0,14,Sandy,Oil seeds,20-20
29,61,52,37,1,0,Red,Maize,Urea
39,55,49,12,1,36,Black,Ground Nuts,DAP
32,64,39,8,15,17,Loamy,Tobacco,10-26-26
23,52,52,1,16,17,Loamy,Tobacco,10-26-26
28,48,51,10,12,11,Loamy,Maize,17-17-17
31,64,48,13,1,13,Loamy,Sugarcane,20-20
32,54,44,37,0,0,Loamy,Tobacco,Urea
29,59,42,11,1,13,Sandy,Millets,20-20
28,66,58,13,12,12,Loamy,Sugarcane,17-17-17
31,74,31,8,7,32,Black,Wheat,14-35-14
27,61,53,15,15,13,Red,Cotton,17-17-17
28,65,50,10,8,28,Loamy,Paddy,14-35-14
30,65,36,13,2,35,Red,Cotton,DAP
27,62,27,42,1,0,Red,Millets,Urea
23,63,33,12,15,11,Red,Barley,17-17-17
28,53,44,20,0,21,Red,Millets,28-28
39,65,61,8,7,30,Black,Oil seeds,14-35-14
27,61,23,8,8,31,Sandy,Cotton,14-35-14
33,54,34,6,18,20,Clayey,Tobacco,10-26-26
33,62,42,11,1,42,Black,Sugarcane,DAP
28,63,38,9,7,34,Clayey,Cotton,14-35-14
26,58,43,12,0,16,Black,Oil seeds,20-20
31,48,42,11,0,14,Sandy,Sugarcane,20-20
34,58,68,12,0,37,Sandy,Paddy,DAP
30,50,41,10,0,8,Black,Millets,20-20
27,61,29,23,0,19,Loamy,Barley,28-28
32,61,44,38,0,0,Clayey,Wheat,Urea
41,56,33,7,9,28,Sandy,Oil seeds,14-35-14
29,56,45,22,0,21,Clayey,Wheat,28-28
31,49,52,12,0,15,Black,Sugarcane,20-20
30,54,66,17,0,12,Loamy,Millets,20-20
29,60,45,38,1,0,Loamy,Pulses,Urea
23,56,38,10,15,18,Loamy,Wheat,10-26-26
34,59,40,12,16,13,Red,Barley,17-17-17
30,57,44,9,9,29,Black,Sugarcane,14-35-14
30,60,64,15,0,40,Black,Pulses,DAP
30,61,45,39,2,0,Red,Oil seeds,Urea
31,44,35,10,0,10,Sandy,Pulses,20-20
31,68,62,8,8,34,Sandy,Oil seeds,14-35-14
34,57,23,13,0,39,Red,Wheat,DAP
27,58,55,14,1,40,Black,Oil seeds,DAP
29,67,39,12,10,14,Red,Sugarcane,17-17-17
33,57,32,11,0,15,Clayey,Oil seeds,20-20
24,72,38,11,0,13,Loamy,Cotton,20-20
34,58,30,13,17,21,Red,Pulses,10-26-26
32,63,31,8,19,17,Clayey,Barley,10-26-26
32,51,24,9,17,15,Sandy,Tobacco,10-26-26
32,63,51,5,17,13,Clayey,Barley,10-26-26
29,63,26,14,0,34,Clayey,Ground Nuts,DAP
25,54,46,23,1,22,Red,Millets,28-28
31,71,21,8,7,23,Clayey,Barley,14-35-14
30,58,43,41,0,0,Clayey,Millets,Urea
30,63,40,22,0,21,Sandy,Maize,28-28
35,64,55,13,12,13,Loamy,Maize,17-17-17
28,52,35,7,19,17,Clayey,Pulses,10-26-26
30,56,58,39,1,0,Black,Millets,Urea
25,63,40,21,1,27,Clayey,Paddy,28-28
34,56,39,36,0,0,Black,Sugarcane,Urea
30,62,33,10,8,29,Clayey,Oil seeds,14-35-14
34,60,35,13,0,12,Black,Sugarcane,20-20
30,61,36,14,0,15,Loamy,Oil seeds,20-20
29,72,53,14,0,38,Red,Millets,DAP
27,57,18,12,0,11,Loamy,Sugarcane,20-20
32,62,41,8,12,29,Loamy,Cotton,14-35-14
30,62,41,39,0,0,Black,Millets,Urea
33,50,57,13,0,15,Loamy,Pulses,20-20
31,45,48,8,10,30,Loamy,Paddy,14-35-14
30,60,51,9,18,16,Clayey,Barley,10-26-26
29,54,30,34,2,0,Black,Wheat,Urea
31,46,40,39,1,0,Sandy,Tobacco,Urea
38,63,38,10,8,31,Clayey,Barley,14-35-14
34,55,50,4,18,17,Red,Paddy,10-26-26
27,57,41,15,0,12,Loamy,Sugarcane,20-20
23,61,28,15,0,11,Black,Sugarcane,20-20
36,65,72,11,1,41,Loamy,Millets,DAP
30,60,39,42,0,1,Black,Paddy,Urea
38,63,46,8,6,31,Black,Wheat,14-35-14
32,58,34,13,12,16,Loamy,Sugarcane,17-17-17
37,65,60,14,11,11,Red,Sugarcane,17-17-17
23,52,74,12,2,14,Sandy,Sugarcane,20-20
34,57,47,24,1,17,Red,Tobacco,28-28
26,64,34,21,0,23,Black,Pulses,28-28
30,50,63,14,12,13,Loamy,Barley,17-17-17
26,58,53,13,14,14,Red,Ground Nuts,17-17-17
33,63,49,11,1,40,Sandy,Sugarcane,DAP
33,61,57,11,0,10,Red,Oil seeds,20-20
30,51,64,9,12,16,Sandy,Sugarcane,17-17-17
32,73,16,9,8,31,Loamy,Cotton,14-35-14
31,62,59,11,0,14,Sandy,Wheat,20-20
34,65,22,10,11,30,Loamy,Wheat,14-35-14
35,66,43,14,1,36,Red,Cotton,DAP
25,53,41,13,0,11,Clayey,Sugarcane,20-20
33,61,29,23,1,19,Red,Paddy,28-28
34,60,57,17,0,35,Red,Millets,DAP
26,52,55,11,13,13,Black,Sugarcane,17-17-17
25,53,49,16,12,16,Loamy,Sugarcane,17-17-17
29,62,36,24,2,21,Sandy,Cotton,28-28
23,61,49,12,18,15,Loamy,Pulses,10-26-26
31,60,38,10,17,12,Red,Sugarcane,17-17-17
34,56,39,21,0,24,Loamy,Barley,28-28
28,54,46,11,14,13,Loamy,Sugarcane,17-17-17
29,64,52,5,20,15,Clayey,Tobacco,10-26-26
37,71,83,11,0,34,Loamy,Barley,DAP
36,57,43,11,13,11,Red,Sugarcane,17-17-17
24,69,37,12,14,12,Black,Cotton,17-17-17
28,58,34,13,10,15,Sandy,Barley,17-17-17
30,61,36,37,0,0,Black,Tobacco,Urea
32,64,57,15,0,36,Loamy,Pulses,DAP
32,61,68,11,1,42,Loamy,Barley,DAP
32,60,33,12,15,11,Sandy,Ground Nuts,17-17-17
23,50,45,22,1,24,Clayey,Millets,28-28
21,63,34,0,17,16,Clayey,Paddy,10-26-26
34,66,50,6,8,32,Black,Maize,14-35-14
29,66,30,40,1,0,Sandy,Paddy,Urea
32,58,48,22,0,20,Black,Wheat,28-28
27,52,27,13,0,40,Loamy,Cotton,DAP
35,55,33,1,18,14,Red,Tobacco,10-26-26
24,57,42,6,18,20,Sandy,Tobacco,10-26-26
32,66,37,4,19,20,Clayey,Pulses,10-26-26
27,55,36,21,0,17,Red,Pulses,28-28
31,58,49,11,0,15,Clayey,Oil seeds,20-20
36,74,29,9,8,32,Black,Cotton,14-35-14
30,64,55,11,0,12,Loamy,Oil seeds,20-20
32,57,66,8,8,28,Black,Sugarcane,14-35-14
32,69,30,12,13,14,Black,Sugarcane,17-17-17
33,56,43,14,0,39,Red,Wheat,DAP
32,63,44,7,8,26,Sandy,Maize,14-35-14
27,57,51,11,15,13,Loamy,Ground Nuts,17-17-17
30,58,55,21,0,17,Clayey,Pulses,28-28
25,53,44,12,18,19,Clayey,Barley,10-26-26
34,67,19,9,8,32,Clayey,Sugarcane,14-35-14
35,61,50,12,0,12,Sandy,Millets,20-20
32,57,42,7,18,17,Red,Tobacco,10-26-26
28,62,44,7,16,18,Clayey,Pulses,10-26-26
32,59,43,5,8,32,Black,Sugarcane,14-35-14
29,64,47,13,0,38,Black,Wheat,DAP
36,63,62,8,8,29,Black,Maize,14-35-14
32,71,26,10,9,32,Sandy,Maize,14-35-14
32,57,38,23,0,23,Red,Wheat,28-28
32,63,35,8,8,32,Loamy,Oil seeds,14-35-14
29,58,51,21,0,21,Loamy,Tobacco,28-28
31,54,38,37,1,0,Black,Millets,Urea
30,57,44,13,2,12,Sandy,Pulses,20-20
21,50,40,12,13,13,Black,Sugarcane,17-17-17
38,54,33,37,0,0,Black,Paddy,Urea
36,68,40,13,0,40,Sandy,Ground Nuts,DAP
29,48,26,11,0,17,Clayey,Pulses,20-20
37,51,39,23,2,18,Sandy,Paddy,28-28
28,66,59,13,11,13,Red,Cotton,17-17-17
28,58,44,18,0,20,Clayey,Tobacco,28-28
32,53,42,22,0,21,Red,Tobacco,28-28
27,57,45,13,12,13,Sandy,Maize,17-17-17
29,60,29,11,8,32,Loamy,Maize,14-35-14
31,69,46,23,1,22,Clayey,Maize,28-28
28,60,51,13,0,39,Sandy,Barley,DAP
22,53,45,11,0,9,Loamy,Sugarcane,20-20
32,62,39,17,11,11,Sandy,Cotton,17-17-17
28,49,47,12,13,15,Red,Sugarcane,17-17-17
33,51,44,41,0,0,Loamy,Pulses,Urea
33,46,52,9,0,11,Black,Sugarcane,20-20
32,53,43,35,0,0,Black,Paddy,Urea
31,54,52,39,1,1,Loamy,Ground Nuts,Urea
31,65,61,37,1,0,Sandy,Paddy,Urea
34,60,36,10,8,30,Clayey,Sugarcane,14-35-14
27,46,31,8,18,13,Sandy,Pulses,10-26-26
33,56,26,6,6,28,Black,Sugarcane,14-35-14
26,56,35,22,0,25,Clayey,Barley,28-28
24,49,49,11,12,15,Loamy,Barley,17-17-17
33,42,42,14,0,16,Loamy,Wheat,20-20
33,57,75,8,8,32,Sandy,Oil seeds,14-35-14
27,63,54,34,0,0,Loamy,Wheat,Urea
27,48,48,14,11,12,Sandy,Maize,17-17-17
35,54,54,14,0,10,Loamy,Sugarcane,20-20
33,57,14,15,1,39,Sandy,Sugarcane,DAP
30,59,53,12,13,15,Sandy,Ground Nuts,17-17-17
30,60,39,13,0,40,Sandy,Cotton,DAP
33,55,25,5,9,28,Sandy,Sugarcane,14-35-14
29,70,29,8,20,19,Red,Barley,10-26-26
28,60,32,22,1,21,Black,Tobacco,28-28
29,62,54,13,0,37,Red,Pulses,DAP
36,49,21,4,16,19,Clayey,Pulses,10-26-26
26,62,44,9,16,12,Loamy,Maize,17-17-17
33,62,29,13,1,39,Black,Millets,DAP
32,55,29,32,0,2,Red,Paddy,Urea
30,57,57,14,11,12,Red,Sugarcane,17-17-17
33,56,32,15,1,38,Red,Cotton,DAP
30,73,51,24,0,22,Red,Cotton,28-28
30,64,47,22,1,15,Clayey,Barley,28-28
33,53,57,35,1,2,Clayey,Millets,Urea
29,58,39,10,0,10,Loamy,Millets,20-20
33,53,40,22,0,24,Clayey,Ground Nuts,28-28
27,50,35,5,15,19,Sandy,Paddy,10-26-26
36,48,49,9,0,42,Red,Pulses,DAP
30,56,33,17,12,10,Red,Sugarcane,17-17-17
29,65,47,9,8,31,Sandy,Barley,14-35-14
29,53,42,9,18,18,Clayey,Pulses,10-26-26
39,58,29,15,2,38,Sandy,Cotton,DAP
32,59,25,9,11,27,Black,Cotton,14-35-14
27,39,37,7,17,19,Loamy,Tobacco,10-26-26
36,58,33,9,18,18,Clayey,Barley,10-26-26
33,62,56,22,0,20,Clayey,Cotton,28-28
31,67,60,7,8,32,Loamy,Oil seeds,14-35-14
31,50,52,37,2,1,Loamy,Paddy,Urea
33,59,40,23,2,16,Clayey,Wheat,28-28
29,63,48,23,0,29,Clayey,Barley,28-28
31,62,46,7,8,26,Sandy,Oil seeds,14-35-14
30,60,40,12,0,35,Sandy,Barley,DAP
31,57,38,12,0,36,Black,Tobacco,DAP
31,61,34,39,0,0,Loamy,Oil seeds,Urea
42,57,48,3,19,22,Red,Tobacco,10-26-26
28,55,39,33,0,1,Loamy,Sugarcane,Urea
25,46,41,11,14,14,Red,Ground Nuts,17-17-17
31,51,44,39,0,0,Sandy,Millets,Urea
29,60,35,14,0,14,Clayey,Wheat,20-20
31,64,31,15,1,40,Loamy,Barley,DAP
28,63,48,7,0,14,Red,Sugarcane,20-20
36,55,53,13,0,13,Sandy,Oil seeds,20-20
25,63,51,39,0,0,Red,Wheat,Urea
27,72,29,39,1,0,Sandy,Oil seeds,Urea
34,55,39,9,18,20,Clayey,Barley,10-26-26
27,59,35,11,0,16,Sandy,Cotton,20-20
29,62,27,8,11,32,Black,Maize,14-35-14
30,49,63,23,0,23,Loamy,Wheat,28-28
34,60,50,14,0,42,Red,Tobacco,DAP
36,46,37,22,1,17,Black,Maize,28-28
21,66,50,11,14,16,Red,Sugarcane,17-17-17
27,45,52,7,17,18,Clayey,Tobacco,10-26-26
28,50,60,41,0,2,Black,Sugarcane,Urea
30,55,36,1,18,18,Red,Pulses,10-26-26
27,73,54,13,1,37,Black,Wheat,DAP
31,57,45,6,8,26,Sandy,Sugarcane,14-35-14
32,56,23,11,13,15,Loamy,Sugarcane,17-17-17
34,62,42,40,1,1,Clayey,Sugarcane,Urea
27,59,19,8,15,20,Clayey,Barley,10-26-26
33,64,42,13,17,17,Clayey,Pulses,10-26-26
32,68,57,12,0,38,Sandy,Barley,DAP
31,60,45,10,0,16,Loamy,Sugarcane,20-20
26,63,59,14,11,12,Red,Sugarcane,17-17-17
26,55,39,11,1,37,Loamy,Ground Nuts,DAP
37,64,35,12,12,13,Red,Sugarcane,17-17-17
31,60,52,14,2,12,Black,Millets,20-20
30,52,42,38,0,0,Red,Wheat,Urea
29,72,46,6,10,30,Loamy,Maize,14-35-14
36,59,41,15,0,35,Loamy,Millets,DAP
35,59,31,14,1,42,Red,Cotton,DAP
24,58,46,38,0,0,Clayey,Millets,Urea
31,53,51,24,1,21,Loamy,Wheat,28-28
33,55,37,34,0,0,Loamy,Cotton,Urea
33,54,37,0,19,20,Red,Wheat,10-26-26
32,66,35,14,0,34,Black,Paddy,DAP
34,46,37,11,12,14,Red,Barley,17-17-17
31,62,31,15,1,43,Red,Millets,DAP
28,60,40,9,9,27,Red,Oil seeds,14-35-14
29,58,55,11,12,11,Sandy,Maize,17-17-17
26,54,47,8,8,32,Black,Wheat,14-35-14
26,60,47,23,0,18,Black,Maize,28-28
27,56,57,22,0,22,Red,Wheat,28-28
33,61,30,15,1,37,Sandy,Cotton,DAP
35,50,55,38,0,0,Black,Ground Nuts,Urea
28,59,47,24,0,22,Red,Wheat,28-28
28,59,52,8,16,19,Clayey,Pulses,10-26-26
29,53,66,38,0,1,Black,Tobacco,Urea
27,56,52,4,17,16,Clayey,Barley,10-26-26
30,52,36,36,2,0,Clayey,Sugarcane,Urea
28,50,41,44,0,2,Loamy,Millets,Urea
26,59,49,12,1,9,Sandy,Paddy,20-20
28,59,25,13,1,8,Loamy,Pulses,20-20
33,56,62,8,9,30,Red,Paddy,14-35-14
29,58,36,11,1,38,Red,Barley,DAP
29,56,49,7,8,27,Sandy,Maize,14-35-14
31,69,43,8,8,32,Loamy,Maize,14-35-14
29,63,39,13,10,14,Loamy,Maize,17-17-17
32,59,43,22,0,22,Red,Pulses,28-28
31,60,67,15,2,38,Loamy,Barley,DAP
28,60,42,10,1,6,Black,Oil seeds,20-20
26,49,51,20,0,29,Black,Millets,28-28
32,53,30,39,0,1,Black,Oil seeds,Urea
31,65,28,24,3,20,Clayey,Barley,28-28
28,52,39,5,18,20,Red,Barley,10-26-26
29,57,41,12,1,38,Loamy,Wheat,DAP
30,53,37,20,0,27,Loamy,Cotton,28-28
22,53,41,9,16,20,Clayey,Tobacco,10-26-26
23,55,32,12,0,14,Black,Millets,20-20
27,55,56,22,2,22,Black,Tobacco,28-28
33,56,41,23,1,20,Red,Millets,28-28
32,48,42,12,1,13,Black,Millets,20-20
30,58,49,14,0,11,Loamy,Oil seeds,20-20
25,56,15,11,1,13,Loamy,Cotton,20-20
29,57,35,13,13,12,Sandy,Sugarcane,17-17-17
24,61,36,11,0,14,Sandy,Wheat,20-20
29,54,40,12,2,39,Clayey,Sugarcane,DAP
29,51,60,35,0,0,Red,Ground Nuts,Urea
32,63,42,7,19,18,Clayey,Barley,10-26-26
30,42,48,8,0,10,Black,Paddy,20-20
34,55,56,39,2,0,Black,Millets,Urea
29,64,48,15,1,35,Black,Sugarcane,DAP
36,60,32,6,18,16,Clayey,Tobacco,10-26-26
34,48,47,11,12,14,Red,Sugarcane,17-17-17
29,61,59,12,0,39,Loamy,Cotton,DAP
32,57,46,37,0,0,Black,Millets,Urea
29,61,37,12,1,10,Loamy,Pulses,20-20
25,60,38,8,1,15,Clayey,Wheat,20-20
25,52,56,12,16,14,Black,Sugarcane,17-17-17
31,64,36,13,0,38,Clayey,Barley,DAP
30,62,25,37,1,0,Loamy,Wheat,Urea
31,60,46,8,6,35,Clayey,Cotton,14-35-14
33,62,34,8,7,32,Black,Pulses,14-35-14
36,58,34,8,9,29,Red,Pulses,14-35-14
29,64,45,24,0,24,Red,Maize,28-28
29,64,27,0,19,19,Clayey,Wheat,10-26-26
35,48,35,13,1,37,Sandy,Pulses,DAP
31,50,35,20,0,22,Loamy,Tobacco,28-28
28,51,45,23,2,20,Clayey,Millets,28-28
32,54,42,23,0,27,Sandy,Wheat,28-28
30,60,52,39,0,0,Red,Cotton,Urea
35,67,32,7,18,18,Sandy,Barley,10-26-26
28,60,59,9,9,27,Clayey,Cotton,14-35-14
34,57,24,13,1,37,Sandy,Barley,DAP
31,56,79,12,13,12,Loamy,Maize,17-17-17
34,55,51,14,0,37,Red,Cotton,DAP
29,52,42,12,16,15,Black,Sugarcane,17-17-17
34,50,51,7,10,31,Red,Barley,14-35-14
36,53,39,22,0,23,Black,Barley,28-28
32,49,49,11,0,35,Red,Ground Nuts,DAP
26,56,68,11,1,13,Red,Millets,20-20
29,58,42,11,0,12,Black,Cotton,20-20
31,53,34,11,12,13,Red,Sugarcane,17-17-17
27,61,33,16,1,11,Sandy,Millets,20-20
30,51,28,15,0,37,Red,Barley,DAP
28,51,23,12,14,15,Red,Maize,17-17-17
26,50,52,10,0,39,Loamy,Tobacco,DAP
27,58,51,11,8,31,Sandy,Paddy,14-35-14
30,64,33,21,0,20,Red,Cotton,28-28
28,61,47,39,0,0,Red,Paddy,Urea
19,61,44,13,17,16,Red,Tobacco,10-26-26
34,57,71,14,0,37,Red,Sugarcane,DAP
28,60,45,19,1,25,Clayey,Maize,28-28
27,54,72,13,0,15,Sandy,Sugarcane,20-20
36,58,34,8,9,29,Loamy,Sugarcane,14-35-14
36,65,22,35,0,0,Loamy,Oil seeds,Urea
33,55,57,15,1,39,Red,Cotton,DAP
31,63,56,14,0,40,Sandy,Pulses,DAP
35,66,39,7,8,30,Sandy,Cotton,14-35-14
33,53,62,11,0,36,Red,Cotton,DAP
30,62,52,10,14,14,Black,Cotton,17-17-17
32,51,43,12,14,12,Red,Sugarcane,17-17-17
38,63,20,39,0,1,Sandy,Wheat,Urea
33,51,50,13,1,41,Red,Cotton,DAP
29,55,26,3,19,17,Red,Barley,10-26-26
39,69,37,11,0,39,Red,Cotton,DAP
34,54,54,14,0,39,Black,Ground Nuts,DAP
28,59,45,15,1,37,Red,Millets,DAP
32,63,41,13,2,41,Red,Paddy,DAP
34,74,57,40,1,1,Red,Oil seeds,Urea
35,63,24,8,9,32,Black,Sugarcane,14-35-14
28,60,36,23,0,23,Black,Barley,28-28
33,70,27,6,8,30,Black,Sugarcane,14-35-14
24,44,38,6,17,21,Clayey,Tobacco,10-26-26
35,55,53,15,0,36,Sandy,Barley,DAP
32,72,42,37,0,1,Loamy,Cotton,Urea
28,65,43,9,2,7,Loamy,Paddy,20-20
29,54,39,12,0,13,Sandy,Sugarcane,20-20
36,64,46,13,12,14,Loamy,Cotton,17-17-17
31,59,54,23,0,21,Sandy,Barley,28-28
30,49,51,9,1,10,Red,Pulses,20-20
29,49,32,14,17,22,Clayey,Pulses,10-26-26
27,64,54,9,7,30,Loamy,Maize,14-35-14
32,53,35,8,2,10,Black,Wheat,20-20
35,61,37,13,0,35,Black,Ground Nuts,DAP
33,54,43,8,18,17,Loamy,Pulses,10-26-26
43,63,63,10,17,19,Sandy,Tobacco,10-26-26
34,74,48,10,0,11,Loamy,Oil seeds,20-20
